Column1,Wind Farm Name,Longitude,Latitude,Minimum hub height,Maximum hub height,Cut-in wind speed,Cut-off wind speed,Rated wind speed,Rated power,Url,Manufacturer
228,Meenaward Wind Farm (Formerly Beam Hill 2),-7.440450283,55.19770628,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_27246_meenaward.php,Enercon
229,Meenkeeragh Wind Farm,-7.391979166,55.12961531,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_19356_meenkeeragh-i.php,Enercon
230,Meenkeeragh Wind Farm (2),-7.391979166,55.12961531,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_19359_meenkeeragh-ii.php,Enercon
231,Meentycat,-7.862268515,54.86948076,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1714_meentycat.php,Enercon
232,Meentycat,-7.883904255,54.88140801,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_17334_meentycat-2.php,Enercon
233,Meenwaun Wind Farm,-7.921047071,53.16092315,85,139,3,25,12.5,"2,750",https://www.thewindpower.net/windfarm_en_27253_meenwaun.php,GE Energy
234,Michael Aylward,-7.072299564,52.33209804,85,139,3,25,12.5,"2,750",https://www.thewindpower.net/windfarm_en_24926_michael-aylward-windfarm.php,Enercon
236,Milane Hill Wind Farm,-9.21252348,51.68954101,40,55,4.5,25,14,660,https://www.thewindpower.net/windfarm_en_1698_milane-hill.php,"Hansen, Flender, Valmet"
237,"Moanmore Wind Farm
Wind",-9.488160988,52.67087052,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_1695_moanmore.php,Enercon
238,Monaincha Bog Wind Farm (Gate 2),-7.719008102,52.93710105,91,141,3,20,11,"2,400",https://www.thewindpower.net/windfarm_en_22153_monaincha-bog.php,GE Energy
240,Moneenatieve Wind Farm (1),-8.158680244,54.14305636,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_1730_moneenatieve-1.php,Gamesa
241,Moneenatieve Wind Farm (2),-8.158317409,54.13219307,44,74,3,25,14.5,850,https://www.thewindpower.net/windfarm_en_19362_moneenatieve-2.php,Gamesa
242,Moneypoint,-9.423213685,52.61019439,69,94,4,25,12.5,"3,450",https://www.thewindpower.net/windfarm_en_27243_moneypoint.php,GE Energy
245,Mount Eagle Wind Farm,-9.32285447,52.24202029,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1725_mount-eagle-windfarm-i.php,Vestas
246,Mount Eagle Wind Farm (2),-9.322336512,52.24183733,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3826_mount-eagle-windfarm-ii.php,Vestas
247,Mountain Lodge,-7.107941902,54.02149958,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_6705_mountain-lodge-1.php,"LM Glasfiber, GE Energy"
248,Mountain Lodge,-7.107941902,54.02149958,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_6700_mountain-lodge-2.php,"LM Glasfiber, GE Energy"
249,"Mountain Lodge Wind Farm
Wind",-7.107941902,54.02149958,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_19364_mountain-lodge-3.php,"LM Glasfiber, GE Energy"
251,Mounvaun (Mienvee) Wind Farm,-8.144190966,52.6496561,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1739_mienvee.php,Vestas
252,Mounvaun (Mienvee) Wind Farm (2),-8.142339027,52.64822026,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_20220_mienvee-2.php,Vestas
255,"Muingnaminnane Wind Farm
Wind",-9.539070813,52.28952373,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_6703_muingnaminanne.php,Vestas
256,Mullananalt Wind Farm,-6.912412785,54.07673754,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3851_mullananalt.php,Vestas
259,Oweninny,-9.548391881,54.13545897,91,141,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_7250_oweninny.php,GE Energy
264,Pluckanes Wind Farm,-8.70067181,52.00261082,91,141,3,25,13,"3,600",https://www.thewindpower.net/windfarm_en_21328_pluckanes.php,Vestas
265,Raheen Barr Wind Farm,-9.336146446,53.90498685,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1733_raheen-barr.php,Vestas
266,Raheenleagh (1),-6.29140252,52.79604325,75,100,4,25,13,"3,200",https://www.thewindpower.net/windfarm_en_24079_raheenleagh.php,GE Energy
267,Rahora Wind Farm,-7.052531726,52.3954196,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_3919_rahora.php,Enercon
269,"Rathcahill West Wind Farm
Wind",-9.130708396,52.40324712,75,100,3,25,11.5,"2,500",https://www.thewindpower.net/windfarm_en_17365_rathcahill.php,LM Glasfiber
270,Rathnacally Wind Farm,-8.698432129,52.32958601,93,143,3.5,22,13,"3,200",https://www.thewindpower.net/windfarm_en_29942_rathnacally.php,Power Blades
271,Reenascreena Wind Farm,-9.036328783,51.62332726,50,76,3,25,14,800,https://www.thewindpower.net/windfarm_en_11139_reenascreena.php,Enercon
273,"Richfield Wind Farm
Wind",-6.594227582,52.21674579,54.7,100,3,24,13,"1,500",https://www.thewindpower.net/windfarm_en_3830_richfield.php,"LM Glasfiber, GE Energy"
274,Roosky Wind Farm,-8.585476908,53.87814908,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_23058_roosky.php,Enercon
277,Scartaglen Wind Farm,-9.315160167,52.1625154,78,138,2,25,13,"2,350",https://www.thewindpower.net/windfarm_en_29938_scartaglen.php,Enercon
279,Seltanaveeny Wind Farm,-8.116665541,54.10931796,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18141_seltenaveeny.php,Enercon
281,Shannagh (Kilcar),-8.582709111,54.66827313,45,55,3,25,17,900,https://www.thewindpower.net/windfarm_en_11135_shannagh.php,Enercon
282,"Skehanagh Wind Farm
Wind",-7.983232485,53.02006299,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_3828_skehanagh.php,Vestas
283,Skrine Wind Farm,-8.181871969,53.5692566,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_18142_skrine.php,Enercon
284,Sliabh Bawn,-8.053792118,53.74907589,74.5,99.5,3,25,12.5,"3,200",https://www.thewindpower.net/windfarm_en_24390_sliabh-bawn.php,Siemens
285,Slievereagh Wind Farm (1),-8.389333881,52.37308407,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17449_slievereagh.php,Enercon
286,Slievereagh Wind Farm (2),-8.389333881,52.37308407,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_22491_slievereagh-2.php,Enercon
287,Sonnagh Old Phase 1,-8.637908639,53.13074213,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1718_sonnagh-old.php,Vestas
288,Sorne Hill (2),-7.355484816,55.13100006,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3923_sorne-hill-ii.php,Enercon
289,Sorne Hill Wind Farm,-7.35560246,55.12661627,64,113,2,25,14,"2,000",https://www.thewindpower.net/windfarm_en_3840_sorne-hill.php,Enercon
292,Spion Kop Wind Farm,-8.138281237,54.13456303,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_1727_spion-kop.php,Vestas
293,"St Patricks Missionary Society, Co. Wicklow",-6.558350819,52.90159701,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_24919_st-patricks-missionary-society.php,Vestas
294,Taghart Wind Farm (formerly Cregg WF),-6.874385511,53.96227784,40.5,53,4.5,25,16,600,https://www.thewindpower.net/windfarm_en_7233_taghart.php,Vestas
295,"Taurbeg Wind Farm
Wind",-9.135498732,52.25023667,80,100,3.5,25,17,"2,300",https://www.thewindpower.net/windfarm_en_3834_taurbeg.php,Siemens
296,Teevurcher Wind Farm,-6.919937999,53.88258095,58.5,80,4,22,14.5,"2,050",https://www.thewindpower.net/windfarm_en_26532_teevurcher.php,Power Blades
297,"Templederry Wind Farm
Wind",-8.147873185,52.77731564,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_17359_templederry.php,Enercon
298,Tesco Donabate,-6.190919279,53.48883359,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_29955_tesco-donabate.php,Enercon
300,Tournafulla (2) Wind Farm,-9.161786392,52.37563764,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3831_tournafulla-ii.php,Enercon
301,"Tournafulla Wind Farm (1)
Wind",-9.161786392,52.37563764,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_3832_tournafulla.php,Enercon
302,Tullabrack Wind Farm,-9.478093407,52.67925716,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27829_tullabrack-wind-farm.php,Enercon
303,Tullow Mushroom Growers Ltd,-6.758990559,52.84718305,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_203_tullow-mushroom-growers-ltd.php,Enercon
305,Tullynamoyle,-8.134908503,54.22673294,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_19363_tullynamoyle.php,Enercon
306,Tullynamoyle 2 Wind Farm,-8.120575908,54.22890467,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27254_tullynamoyle-2.php,Enercon
307,Tullynamoyle Wind Farm 3 (Carrane Hill Merged Capacity),-8.134908503,54.22673294,57,113,2,25,15.5,"2,300",https://www.thewindpower.net/windfarm_en_27255_tullynamoyle-3.php,Enercon
309,"Tursillagh (2) Wind Farm
Wind",-9.606067177,52.31471871,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1724_tursillagh.php,Vestas
310,Tursillagh Wind Farm,-9.596714308,52.31364095,40,65,3,25,14,850,https://www.thewindpower.net/windfarm_en_1721_tursillagh.php,Vestas
312,"WEDcross Wind Farm
Wind",-9.228600249,52.15307519,78,138,2,25,14,"2,300",https://www.thewindpower.net/windfarm_en_1673_wedcross.php,Enercon
314,Woodhouse,-7.777068082,52.08133005,65,80,3,25,13.5,"2,500",https://www.thewindpower.net/windfarm_en_22883_woodhouse.php,"LM Glasfiber, Nordex"
